Date Added,category,sellerlink,brand_name,product_count,positive_rating_percentage,rating_count,country,Count of seller brands,Hero Product 1 #ratings,Hero Product 2 #ratings,Max % of negative seller ratings - last 30 days,Max % of negative seller ratings - last 90 days,Max % of negative seller ratings - last 12 months,businessaddress,sellerstorefront-url,Sample Brand URL,email_id,phone_number
15-Nov-20,Garden,Seller 1,YAMAZAKI Store,100000,88,118,United States,16,5873,4957,17,11,12,411 THEODORE FREMD AVESTE 206 SOUTHRyeNY10580-1410US,Seller 1-storefrontlink,https://www.amazon.de/-/en/stores/YAMAZAKI/page/B9975298-FF1F-4EE2-BD7B-53AE47A44D8A?ref_=ast_bln,jadgemaello@gmail.com,NULL
15-Nov-20,Garden,Seller 2,tesa Store,NULL,90,566,Germany,0,0,0,2,2,9,1a HandelsagenturLindenallee 2MalchowMecklenburg17213DE,Seller 2-storefrontlink,https://www.amazon.de/-/en/stores/tesa/page/12E699E9-FA20-4BC9-A12B-8A9CDE0C446C?ref_=ast_bln,info@1ahandelsagentur.de,NULL
15-Nov-20,Garden,Seller 3,TXYFYP,2000,85,75,Canada,15,164,162,0,25,12,zhongnanshijicheng27zhuang1410haochongchuanqunantongshi226000CN,Seller 3-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=TXYFYP,NULL,NULL
15-Nov-20,Garden,Seller 4,SHIFENG,123,NULL,NULL,Canada,1,0,0,0,0,0,?????????????????????????????1901?450000CN,Seller 4-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=SHIFENG,NULL,NULL
15-Nov-20,Garden,Seller 5,YUOKI99,1000,81,52,Canada,16,224,113,0,31,15,minzhidadaoshaxialaocun94dongA901longhuaxinqushenzhenshi518000CN,Seller 5-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=YUOKI99,NULL,NULL
15-Nov-20,Garden,Seller 6,Strata,28,NULL,NULL,Other,13,3284,2944,0,0,0,,Seller 6-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Strata,NULL,NULL
15-Nov-20,Garden,Seller 7,Gaorb040703,4000,NULL,NULL,Canada,6,18,1,0,0,0,fengzequbeifengjiedaoshantianlu46haoquanzhoushifujiansheng362000CN,Seller 7-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Gaorb040703,NULL,NULL
15-Nov-20,Garden,Seller 8,Tuzi,3000,NULL,NULL,Canada,1,0,0,0,0,0,TianQiaoQuTongYuanJuQianJie11HaoAQu204JiNanShiShanDongSheng250000CN,Seller 8-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=ce-de&field-keywords=Tuzi,NULL,NULL
15-Nov-20,Garden,Seller 9,SEVEN WALL ARTS,133,100,4,Canada,1,65,9,0,0,0,"No 267 Northern Industrial Zone Jinli VillageHaicang DistrictXiamenFujian, China361026CN",Seller 9-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=SEVEN+WALL+ARTS,NULL,NULL
15-Nov-20,Garden,Seller 10,Mingi,3000,NULL,NULL,Canada,4,6,1,0,0,0,jinjiangqujinghuananlu95haochengdushisichuansheng610011CN,Seller 10-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=Mingi,NULL,NULL
15-Nov-20,Garden,Seller 11,TYXTYX,4000,100,3,Canada,15,2,0,0,0,0,KaiFaQuHeFenLuWuZhouGuoJiGuangChang2CengL221HaoLinFenShanXiSheng041000CN,Seller 11-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=kitchen-de&field-keywords=TYXTYX,NULL,NULL
15-Nov-20,Garden,Seller 12,Wakauto,1000,63,8,Canada,5,2,2,50,33,25,longgangqulonggangjiedaoainanlu366haoqizhengyuanshangwuzhongxin803shenzhenguangdong518116CN,Seller 12-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=Wakauto,NULL,NULL
15-Nov-20,Garden,Seller 13,MGZDH,4000,0,1,Canada,15,8469,444,100,100,100,beijingshichangpingquxiaotangshanzhenshashunlu88haoyuan2haolBEIJINGSHIBEIJINGSHI100001CN,Seller 13-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=garden-de&field-keywords=MGZDH,NULL,NULL
15-Nov-20,Garden,Seller 14,None branded,1000,NULL,NULL,Canada,3,0,0,0,0,0,pinghexianbanzaizhenguangchengdonglu337-1haozhangzhoushifujiansheng363000CN,Seller 14-storefrontlink,https://www.amazon.de/-/en/s/ref=bl_dp_s_web_0?ie=UTF8&search-type=ss&index=sporting-de&field-keywords=None+branded,NULL,NULL
15-Nov-20,Garden,Seller 15,Unbekannt,919,97,116,Germany,15,1446,921,0,0,3,Kaiserstr 12Borgholzhausen33829DE,Seller 15-storefrontlink,https://www.amazon.de/-/en/Unbekannt/b/ref=bl_dp_s_web_19533614031?ie=UTF8&node=19533614031&field-lbr_brands_browse-bin=Unbekannt,webmaster@9pmstore.de,15140008562
